CIK,broad_bnpl_category,candidate_id,candidate_screening_status,candidate_source,candidate_source_url,category_confidence,company_name,detailed_bnpl_category,exchange,manual_review_required,sec_universe_rank,sic_code,sic_description,ticker
0001610250,Apparel & Personal Care,CTRL_CAND_0124,candidate_pool,SEC company_tickers_exchange.json + SEC submissions SIC,https://www.sec.gov/files/company_tickers_exchange.json; https://data.sec.gov/submissions/CIK##########.json,HIGH,"Boot Barn Holdings, Inc.",Clothing & Accessories,NYSE,False,1054,5661,Retail-Shoe Stores,BOOT
0001639300,Apparel & Personal Care,CTRL_CAND_0125,candidate_pool,SEC company_tickers_exchange.json + SEC submissions SIC,https://www.sec.gov/files/company_tickers_exchange.json; https://data.sec.gov/submissions/CIK##########.json,LOW,"Ollie's Bargain Outlet Holdings, Inc.",Clothing & Accessories,Nasdaq,True,1071,5331,Retail-Variety Stores,OLLI
0001637207,Entertainment,CTRL_CAND_0126,candidate_pool,SEC company_tickers_exchange.json + SEC submissions SIC,https://www.sec.gov/files/company_tickers_exchange.json; https://data.sec.gov/submissions/CIK##########.json,MEDIUM,"Planet Fitness, Inc.",Gaming & Entertainment,NYSE,False,1077,7997,Services-Membership Sports & Recreation Clubs,PLNT
0000063276,Kids & Toys,CTRL_CAND_0127,candidate_pool,SEC company_tickers_exchange.json + SEC submissions SIC,https://www.sec.gov/files/company_tickers_exchange.json; https://data.sec.gov/submissions/CIK##########.json,MEDIUM,MATTEL INC /DE/,Toys & Hobbies,Nasdaq,False,1079,3942,Dolls & Stuffed Toys,MAT
0001144980,Automotive,CTRL_CAND_0128,candidate_pool,SEC company_tickers_exchange.json + SEC submissions SIC,https://www.sec.gov/files/company_tickers_exchange.json; https://data.sec.gov/submissions/CIK##########.json,HIGH,ASBURY AUTOMOTIVE GROUP INC,Automotive,NYSE,False,1089,5500,Retail-Auto Dealers & Gasoline Stations,ABG
0000793733,Entertainment,CTRL_CAND_0129,candidate_pool,SEC company_tickers_exchange.json + SEC submissions SIC,https://www.sec.gov/files/company_tickers_exchange.json; https://data.sec.gov/submissions/CIK##########.json,LOW,SKYWEST INC,Gaming & Entertainment,Nasdaq,True,1091,4512,"Air Transportation, Scheduled",SKYW
0001921963,Automotive,CTRL_CAND_0130,candidate_pool,SEC company_tickers_exchange.json + SEC submissions SIC,https://www.sec.gov/files/company_tickers_exchange.json; https://data.sec.gov/submissions/CIK##########.json,MEDIUM,Atmus Filtration Technologies Inc.,Automotive,NYSE,False,1094,3714,Motor Vehicle Parts & Accessories,ATMU
0001646188,Electronics & Technology,CTRL_CAND_0131,candidate_pool,SEC company_tickers_exchange.json + SEC submissions SIC,https://www.sec.gov/files/company_tickers_exchange.json; https://data.sec.gov/submissions/CIK##########.json,LOW,Ondas Inc.,Phones & Smartwatches,Nasdaq,True,1096,3663,Radio & Tv Broadcasting & Communications Equipment,ONDS
0001385280,Entertainment,CTRL_CAND_0132,candidate_pool,SEC company_tickers_exchange.json + SEC submissions SIC,https://www.sec.gov/files/company_tickers_exchange.json; https://data.sec.gov/submissions/CIK##########.json,MEDIUM,"Cinemark Holdings, Inc.",Gaming & Entertainment,NYSE,False,1099,7830,Services-Motion Picture Theaters,CNK
0001395942,Automotive,CTRL_CAND_0133,candidate_pool,SEC company_tickers_exchange.json + SEC submissions SIC,https://www.sec.gov/files/company_tickers_exchange.json; https://data.sec.gov/submissions/CIK##########.json,HIGH,"OPENLANE, Inc.",Automotive,NYSE,False,1101,5500,Retail-Auto Dealers & Gasoline Stations,OPLN
