CIK,average_gross_margin_pre,average_net_margin_pre,average_operating_margin_pre,average_revenue_growth_pre,baseline_assets,baseline_market_cap_if_available,baseline_revenue,bnpl_control_status,broad_bnpl_category,cash_to_assets_pre,category_confidence,company_name,control_id,detailed_bnpl_category,exchange,expanded_control_sample,gross_margin_pretrend,leverage_pre,log_assets_2019,log_revenue_2019,manual_review_required,match_distance,match_quality,match_rank,matched_treated_CIK,matched_treated_company,operating_margin_pretrend,preferred_control_sample,revenue_pretrend,sic_code,sic_description,size_bucket,ticker
0001002047,0.6274759700431178,0.09838399471352545,0.16808816285862768,0.03636728356585026,8741000000.0,,6146000000.0,NO_BNPL_EVIDENCE,Electronics & Technology,0.26598787324104795,MEDIUM,"NetApp, Inc.",CONTROL_0027,Computers & Tablets,Nasdaq,True,0.0018368118811744802,0.8753003088891431,22.89129043654476,22.539067300654704,False,0.5345269446134164,HIGH,1,0001121788,GARMIN LTD,0.009747258146810609,True,0.0054148303738558445,3572,Computer Storage Devices,Mid-scale revenue proxy,NTAP
0001511737,0.4516158164335981,0.2570818792865186,0.330768247568871,0.22425511753538138,875865000.0,,875092000.0,NO_BNPL_EVIDENCE,Electronics & Technology,0.2718992082113111,LOW,Ubiquiti Inc.,CONTROL_0028,Phones & Smartwatches,NYSE,True,-0.0022784570448535057,0.8866526234065752,20.59072252743552,20.58983958165191,True,0.7177142433530376,HIGH,1,0001314727,Sonos Inc,-0.002106471743292526,True,0.05212377451902785,3663,Radio & Tv Broadcasting & Communications Equipment,Small-scale revenue proxy,UI
0000726958,0.2176559694902284,0.029299616593714238,,0.10128718034502442,3731376000.0,,9352910000.0,NO_BNPL_EVIDENCE,Automotive,0.016963179266844187,HIGH,CASEYS GENERAL STORES INC,CONTROL_0029,Automotive,Nasdaq,True,-0.00046190604141567204,0.6224532183301816,22.040042903379252,22.95895336177154,True,0.9489249913721756,LOW,1,0001089063,"DICK'S SPORTING GOODS, INC.",,True,0.020767391090583148,5500,Retail-Auto Dealers & Gasoline Stations,Mid-scale revenue proxy,CASY
0000935703,0.30547592709464844,0.05106413339864908,0.07149233229483978,0.0549015004093016,19574600000.0,,23610800000.0,NO_BNPL_EVIDENCE,Apparel & Personal Care,0.027545901321099794,LOW,"DOLLAR TREE, INC.",CONTROL_0030,Clothing & Accessories,Nasdaq,True,-0.0004063111297725692,0.680463457746263,23.697498644387167,23.884970071417264,True,0.32602475045564455,HIGH,1,0000027419,TARGET CORP,-0.0009693822271593567,True,0.030995967448716626,5331,Retail-Variety Stores,Large-scale revenue proxy,DLTR
0000940944,0.1841029541589447,0.07324351342599662,0.09377317969501836,0.071152496114862,5892800000.0,,8510400000.0,NO_BNPL_EVIDENCE,Entertainment,0.07760317675807765,LOW,DARDEN RESTAURANTS INC,CONTROL_0031,Gaming & Entertainment,NYSE,True,-0.0005982953694553091,0.5939790931306,22.496997103655076,22.86455478195233,True,0.6713715668803615,HIGH,1,0001269238,Trip.com Group Ltd,0.0011035475060377955,True,0.01612572828133979,5812,Retail-Eating Places,Mid-scale revenue proxy,DRI
0000092380,,0.12670850984499385,0.14703404689624852,0.029501818728768215,25895000000.0,,22428000000.0,NO_BNPL_EVIDENCE,Entertainment,0.09839737401042672,LOW,SOUTHWEST AIRLINES CO,CONTROL_0032,Gaming & Entertainment,NYSE,True,,,23.977315736822266,23.833576015207836,True,1.547522406594551,LOW,1,0000732717,AT&T INC.,-0.004873758099227288,True,0.008935815636167908,4512,"Air Transportation, Scheduled",Large-scale revenue proxy,LUV
0000746515,,0.07264494786949591,0.09754718060466087,0.10644220068130215,3691884000.0,,8175426000.0,NO_BNPL_EVIDENCE,Sports & Leisure,0.33329622490847494,MEDIUM,EXPEDITORS INTERNATIONAL OF WASHINGTON INC,CONTROL_0033,Sports & Outdoor,NYSE,True,,,22.02940273380848,22.82439866246379,False,0.5744121370083801,HIGH,1,0001075531,Booking Holdings Inc.,-0.0010080089454642396,True,0.018392158252502944,4731,Arrangement of Transportation of Freight & Cargo,Mid-scale revenue proxy,EXPD
0001375365,0.14408714211818624,0.024289122063153486,0.03392349957214711,0.07434715858087089,1682594000.0,,3500360000.0,NO_BNPL_EVIDENCE,Electronics & Technology,0.14748893672508046,MEDIUM,"Super Micro Computer, Inc.",CONTROL_0034,Computers & Tablets,Nasdaq,True,-0.0012260325346820664,0.4406398691544128,21.24360248716473,21.976131657295202,False,0.5953286282411852,HIGH,1,0001326380,GameStop Corp.,-0.0035695195132430186,True,0.04952784807135778,3571,Electronic Computers,Mid-scale revenue proxy,SMCI
0001043277,0.5652600528093925,0.09672925863254912,0.14450324454358202,1.9411953432094555,4641060000.0,,15309508000.0,NO_BNPL_EVIDENCE,Sports & Leisure,0.09649907564220243,MEDIUM,"C. H. ROBINSON WORLDWIDE, INC.",CONTROL_0035,Sports & Outdoor,Nasdaq,True,-0.033474868421891846,0.640011118149733,22.258208625370102,23.451739910240722,True,3.4,REVIEW,1,0001691421,"Lemonade, Inc.",-0.0018120541801695089,True,0.019332554617363582,4731,Arrangement of Transportation of Freight & Cargo,Large-scale revenue proxy,CHRW
0001673358,0.20317165467701948,0.07637413594248899,0.10957197860572397,0.13630906292964518,6950000000.0,,8776000000.0,NO_BNPL_EVIDENCE,Entertainment,0.15050359712230216,LOW,"Yum China Holdings, Inc.",CONTROL_0036,Gaming & Entertainment,NYSE,True,-0.0018568906702086131,0.5431654676258992,22.662007496523113,22.89528655991934,True,2.65,REVIEW,1,0001559720,"Airbnb, Inc.",-0.0057943644544191375,True,0.025341830378381613,5812,Retail-Eating Places,Mid-scale revenue proxy,YUMC
